Packet Length Std,Total Length of Bwd Packets,Subflow Bwd Bytes,Destination Port,Packet Length Variance,Bwd Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Max,Init_Win_bytes_backward,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_forward,Average Packet Size,Packet Length Mean,Max Packet Length,Fwd Packet Length Max,Label
8.76356092,94,94,53,76.8,47.0,47.0,47,-1,62,62,-1,46.75,37.4,47,31,0
2.683281573,0,0,80,7.2,0.0,0.0,0,-1,6,6,251,1.5,1.2,6,6,1
70.10848736,336,336,53,4915.2,168.0,168.0,168,-1,80,80,-1,114.0,91.2,168,40,0
4097.537534,11607,11607,80,16800000.0,2901.75,2901.75,11595,229,26,26,8192,1661.857143,1454.125,11595,20,1
77.77660317,344,344,53,6049.2,172.0,172.0,172,-1,60,60,-1,108.5,86.8,172,30,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,274,0.0,0.0,0,0,1
42.72235949,248,248,53,1825.2,124.0,124.0,124,-1,92,92,-1,96.5,77.2,124,46,0
0.0,0,0,443,0.0,0.0,0.0,0,-1,12,12,63211,9.0,6.0,6,6,0
2313.0877,11595,11595,80,5350374.709,1656.428571,1656.428571,8688,235,378,378,0,921.4615385,855.6428571,8688,360,1
1714.605939,11595,11595,80,2939873.526,1932.5,1932.5,5792,235,375,375,274,997.5,920.7692308,5792,375,1
2141.820674,11595,11595,80,4587395.8,1656.428571,1656.428571,7240,235,340,340,29200,1193.5,1085.0,7240,340,1
9.237604307,62,62,53,85.33333333,62.0,62.0,62,-1,46,46,-1,77.0,51.33333333,62,46,0
2466.709419,11595,11595,80,6084655.359,1932.5,1932.5,8688,235,330,330,0,994.25,917.7692308,8688,312,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,24,24,256,7.5,6.0,6,6,1
1748.225404,11595,11595,80,3056292.063,1932.5,1932.5,5792,235,310,310,274,793.6666667,744.0625,5792,304,1
1665.64621,11595,11595,80,2774377.297,1656.428571,1656.428571,5792,235,351,351,0,919.3846154,853.7142857,5792,333,1
0.0,6,6,56155,0.0,6.0,6.0,6,256,6,6,286,9.0,6.0,6,6,0
15.49654339,41,41,22,240.1428571,20.5,20.5,41,227,0,0,29200,6.833333333,5.857142857,41,0,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,251,0.0,0.0,0,0,1
0.0,6,6,80,0.0,6.0,6.0,6,60,6,6,16288,9.0,6.0,6,6,0
47.6518625,246,246,53,2270.7,123.0,123.0,123,-1,72,72,-1,88.5,70.8,123,36,0
41.62691437,218,218,53,1732.8,109.0,109.0,109,-1,66,66,-1,79.25,63.4,109,33,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,274,0.0,0.0,0,0,1
25.98076211,90,90,53,675.0,90.0,90.0,90,-1,45,45,-1,90.0,60.0,90,45,0
3.898717738,11,11,80,15.2,5.5,5.5,11,235,12,12,0,7.25,5.8,11,6,1
320.7138244,859,859,80,102857.3571,214.75,214.75,859,31,439,439,29200,185.4285714,162.25,859,439,0
8.76356092,112,112,53,76.8,56.0,56.0,56,-1,80,80,-1,58.0,46.4,56,40,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,274,0.0,0.0,0,0,1
940.6677778,58386,58386,443,884855.8682,1167.72,1167.72,2896,1006,1485,1485,29200,680.3522727,672.7078652,2896,517,0
12.5,0,0,443,156.25,0.0,0.0,0,-1,43,43,338,16.33333333,12.25,31,31,0
0.0,36,36,56161,0.0,6.0,6.0,6,0,6,6,229,6.857142857,6.0,6,6,0
3.464101615,6,6,10024,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
2.309401077,6,6,1070,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
3.464101615,6,6,3323,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
2325.15043,62,62,59163,5406324.524,6.888888889,6.888888889,20,256,11607,11607,229,833.9285714,778.3333333,8760,8760,0
1664.929783,11595,11595,80,2771991.183,2319.0,2319.0,5792,235,347,347,274,796.1333333,746.375,5792,329,1
11.18033989,6,6,60492,125.0,6.0,6.0,6,0,43,43,1047,13.75,11.0,31,31,0
16.52876281,6,6,38190,273.2,6.0,6.0,6,0,38,38,349,11.0,8.8,38,38,0
86.54016409,380,380,53,7489.2,190.0,190.0,190,-1,64,64,-1,119.0,95.2,190,32,0
0.0,0,0,443,0.0,0.0,0.0,0,-1,0,0,344,0.0,0.0,0,0,0
3.464101615,6,6,1041,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,251,0.0,0.0,0,0,1
0.0,0,0,42658,0.0,0.0,0.0,0,250,0,0,115,0.0,0.0,0,0,0
154.7298721,6,6,56885,23941.33333,6.0,6.0,6,0,280,280,60,186.6666667,140.0,274,274,0
2909.344177,11595,11595,80,8464283.538,2319.0,2319.0,10136,235,320,320,251,1083.181818,992.9166667,10136,320,1
2686.946243,11595,11595,80,7219680.115,2319.0,2319.0,10136,235,984,984,274,967.6153846,898.5,10136,328,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,251,0.0,0.0,0,0,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,24,24,256,7.5,6.0,6,6,1
2.309401077,6,6,4343,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
0.0,0,0,57521,0.0,0.0,0.0,0,-1,12,12,44,9.0,6.0,6,6,0
2.309401077,6,6,2047,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
1589.473738,56,56,56416,2526426.763,7.0,7.0,20,256,11607,11607,229,777.9333333,729.3125,5840,5840,0
3.464101615,6,6,306,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
2554.159212,11607,11607,80,6523729.278,2321.4,2321.4,5840,229,26,26,8192,1454.125,1292.555556,5840,20,1
3.464101615,6,6,34572,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
3.464101615,6,6,1083,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
0.0,0,0,49625,0.0,0.0,0.0,0,-1,0,0,5222,0.0,0.0,0,0,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,30,30,256,7.2,6.0,6,6,1
3350.634907,11607,11607,80,11200000.0,2321.4,2321.4,10135,229,26,26,8192,1454.125,1292.555556,10135,20,1
2610.755769,11595,11595,80,6816045.686,2319.0,2319.0,10136,235,369,369,251,854.5714286,797.6,10136,363,1
0.0,0,0,443,0.0,0.0,0.0,0,-1,12,12,0,9.0,6.0,6,6,0
0.0,0,0,53757,0.0,0.0,0.0,0,65535,0,0,269,0.0,0.0,0,0,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,251,0.0,0.0,0,0,1
2244.052775,11595,11595,80,5035772.859,2319.0,2319.0,7240,235,355,355,251,995.8333333,919.2307692,7240,355,1
21.36117974,162,162,53,456.3,81.0,81.0,81,-1,84,84,-1,72.0,57.6,81,42,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,274,0.0,0.0,0,0,1
0.0,6,6,51328,0.0,6.0,6.0,6,258,6,6,335,9.0,6.0,6,6,0
56.00297611,145,145,53,3136.333333,145.0,145.0,145,-1,48,48,-1,120.5,80.33333333,145,48,0
17.52712184,124,124,53,307.2,62.0,62.0,62,-1,60,60,-1,53.5,42.8,62,30,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,274,0.0,0.0,0,0,1
1584.07667,11607,11607,80,2509298.896,1934.5,1934.5,4380,229,62,62,256,778.3333333,729.6875,4380,20,1
2.309401077,6,6,1107,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
2.309401077,6,6,5440,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
0.0,0,0,80,0.0,0.0,0.0,0,-1,24,24,256,7.5,6.0,6,6,1
50.44006344,269,269,53,2544.2,134.5,134.5,164,-1,102,102,-1,105.25,84.2,164,52,0
154.7298721,6,6,59386,23941.33333,6.0,6.0,6,0,280,280,60,186.6666667,140.0,274,274,0
3.098386677,12,12,88,9.6,3.0,3.0,6,0,0,0,253,2.4,2.0,6,0,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,30,30,256,7.2,6.0,6,6,1
2.309401077,6,6,15000,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
512.9447959,3566,3566,80,263112.3636,324.1818182,324.1818182,1774,980,896,896,8192,202.8181818,194.0,1774,424,0
15.33623161,142,142,53,235.2,71.0,71.0,71,-1,86,86,-1,67.75,54.2,71,43,0
29.02929555,196,196,53,842.7,98.0,98.0,98,-1,90,90,-1,82.75,66.2,98,45,0
613.8754927,11419,11419,443,376843.1206,496.4782609,496.4782609,2920,292,1525,1525,8192,275.4042553,269.6666667,2920,517,0
2041.417106,11595,11595,80,4167383.8,1932.5,1932.5,5803,235,422,422,0,1202.3,1093.0,5803,416,1
